"Species","Species_Label","Node","Reach","Critial_XS_Position","Seasonal.Component","Current_Suitability","Lower_Limit","Upper_Limit","Probability_Threshold","Designation","Duration_Days","Timing_Start_WYDay","Timing_End_WYDay","metric","notes"
"Current Flow","Current Flow","LA20_2","LAR 10 - Upstream Reach",NA,"Winter Baseflow",NA,"19.15052","35.30741",NA,NA,NA,NA,NA,"Wet_BFL_Mag_10",""
"Current Flow","Current Flow","LA20_2","LAR 10 - Upstream Reach",NA,"Winter Baseflow",NA,"32.8135","52.52465",NA,NA,NA,NA,NA,"Wet_BFL_Mag_50",""
"Current Flow","Current Flow","LA20_2","LAR 10 - Upstream Reach",NA,"Winter Peak Flows",NA,"1971.0187","5429.49208",NA,NA,NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Current Flow","Current Flow","LA3","LAR 3 - Below Rio Hondo",NA,"Summer Baseflow",NA,"117.187875","140.26255",NA,NA,NA,NA,NA,"DS_Mag_50",""
"Current Flow","Current Flow","LA3","LAR 3 - Below Rio Hondo",NA,"Summer Baseflow",NA,"134.3722","183.51188",NA,NA,NA,NA,NA,"DS_Mag_90",""
"Current Flow","Current Flow","LA3","LAR 3 - Below Rio Hondo",NA,"Winter Baseflow",NA,"117.316965","152.881525",NA,NA,NA,NA,NA,"Wet_BFL_Mag_10",""
"Current Flow","Current Flow","LA3","LAR 3 - Below Rio Hondo",NA,"Winter Baseflow",NA,"131.827125","187.594325",NA,NA,NA,NA,NA,"Wet_BFL_Mag_50",""
"Current Flow","Current Flow","LA3","LAR 3 - Below Rio Hondo",NA,"Winter Peak Flows",NA,"6291.9491","18241.10646",NA,NA,NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Current Flow","Current Flow","LA8","LAR 4 - Above Rio Hondo",NA,"Summer Baseflow",NA,"94.1605","102.40095",NA,NA,NA,NA,NA,"DS_Mag_50",""
"Current Flow","Current Flow","LA8","LAR 4 - Above Rio Hondo",NA,"Summer Baseflow",NA,"105.219325","117.519735",NA,NA,NA,NA,NA,"DS_Mag_90",""
"Current Flow","Current Flow","LA8","LAR 4 - Above Rio Hondo",NA,"Winter Baseflow",NA,"92.48157","119.7226",NA,NA,NA,NA,NA,"Wet_BFL_Mag_10",""
"Current Flow","Current Flow","LA8","LAR 4 - Above Rio Hondo",NA,"Winter Baseflow",NA,"101.19365","144.381275",NA,NA,NA,NA,NA,"Wet_BFL_Mag_50",""
"Current Flow","Current Flow","LA8","LAR 4 - Above Rio Hondo",NA,"Winter Peak Flows",NA,"4517.7136","10237.24192",NA,NA,NA,NA,NA,"Use: Peak_2 as lower, Peak_10 as upper",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA20 2","LAR 10 - Upstream Reach","Main Channel","Summer Baseflow","unsuitable","1","28466",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA20 2","LAR 10 - Upstream Reach","Main Channel","Winter Baseflow","unsuitable","1","28466",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA20 2","LAR 10 - Upstream Reach","Main Channel","Summer Baseflow","unsuitable","1","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA20 2","LAR 10 - Upstream Reach","Main Channel","Winter Baseflow","unsuitable","1","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","F300","LAR 8 - Above Burbank","Main Channel","Summer Baseflow","suitable","18","2134",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","F300","LAR 8 - Above Burbank","Main Channel","Winter Baseflow","suitable","18","2134",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","F300","LAR 8 - Above Burbank","Main Channel","Summer Baseflow","suitable","11","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","F300","LAR 8 - Above Burbank","Main Channel","Winter Baseflow","suitable","11","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA14","LAR 7 - Below Burbank","Main Channel","Summer Baseflow","suitable","20","39232",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA14","LAR 7 - Below Burbank","Main Channel","Winter Baseflow","suitable","20","39232",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA14","LAR 7 - Below Burbank","Main Channel","Summer Baseflow","suitable","8","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA14","LAR 7 - Below Burbank","Main Channel","Winter Baseflow","suitable","8","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA13","LAR 6 - Above Glendale WRP","Main Channel","Summer Baseflow","unsuitable","710","40486",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA13","LAR 6 - Above Glendale WRP","Main Channel","Winter Baseflow","unsuitable","710","40486",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA13","LAR 6 - Above Glendale WRP","Main Channel","Summer Baseflow","unsuitable","336","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA13","LAR 6 - Above Glendale WRP","Main Channel","Winter Baseflow","unsuitable","336","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","GLEN","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow","suitable","23","40591",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","GLEN","LAR 5 - Glendale Narrows","Main Channel","Winter Baseflow","suitable","23","40591",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","GLEN","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow","suitable","23","",NA,"Future",90,183,273,"DS_Mag_50",""
